iter	Passed	Remaining
0	8	8813
1	18	9001
2	29	9660
3	39	9731
4	49	9779
5	59	9879
6	70	9936
7	78	9695
8	88	9769
9	98	9787
10	108	9742
11	118	9734
12	127	9679
13	138	9735
14	148	9733
15	157	9702
16	167	9671
17	177	9692
18	193	10009
19	208	10193
20	219	10235
21	228	10142
22	239	10153
23	248	10106
24	259	10118
25	268	10047
26	278	10041
27	287	9979
28	301	10083
29	312	10119
30	323	10121
31	333	10099
32	345	10126
33	357	10144
34	368	10170
35	381	10205
36	391	10183
37	402	10197
38	414	10216
39	429	10298
40	441	10327
41	454	10365
42	468	10434
43	481	10460
44	497	10556
45	514	10663
46	526	10678
47	536	10641
48	546	10615
49	556	10577
50	567	10552
51	576	10506
52	587	10494
53	598	10484
54	608	10447
55	617	10407
56	633	10475
57	658	10702
58	676	10790
59	892	13976
60	910	14010
61	923	13964
62	946	14083
63	969	14176
64	980	14110
65	1043	14764
66	1055	14694
67	1065	14605
68	1080	14579
69	1094	14537
70	1106	14478
71	1116	14391
72	1127	14315
73	1138	14247
74	1147	14150
75	1157	14075
76	1167	13998
77	1176	13912
78	1187	13840
79	1197	13774
80	1206	13690
81	1216	13615
82	1225	13538
83	1237	13495
84	1248	13440
85	1257	13367
86	1265	13285
87	1274	13206
88	1284	13145
89	1293	13075
90	1302	13013
91	1311	12944
92	1321	12890
93	1334	12859
94	1344	12811
95	1356	12771
96	1366	12717
97	1376	12672
98	1386	12622
99	1396	12568
100	1407	12524
101	1417	12476
102	1427	12434
103	1437	12385
104	1446	12333
105	1457	12290
106	1466	12241
107	1477	12204
108	1486	12150
109	1495	12102
110	1504	12047
111	1514	12007
112	1525	11974
113	1535	11937
114	1544	11884
115	1553	11840
116	1564	11807
117	1574	11766
118	1585	11741
119	1597	11713
120	1608	11684
121	1618	11650
122	1626	11599
123	1635	11556
124	1645	11515
125	1655	11480
126	1664	11442
127	1673	11400
128	1680	11348
129	1690	11310
130	1700	11279
131	1710	11250
132	1722	11225
133	1736	11221
134	1746	11193
135	1757	11167
136	1767	11134
137	1780	11121
138	1790	11090
139	1803	11077
140	1814	11057
141	1824	11023
142	1836	11007
143	1852	11010
144	1868	11016
145	1886	11035
146	1898	11018
147	1910	11001
148	1921	10974
149	1932	10950
150	1942	10920
151	1952	10890
152	1962	10865
153	1971	10832
154	1981	10803
155	1990	10769
156	2000	10741
157	2009	10711
158	2018	10674
159	2026	10641
160	2041	10637
161	2054	10628
162	2068	10620
163	2078	10596
164	2088	10569
165	2099	10547
166	2109	10521
167	2119	10498
168	2129	10472
169	2140	10448
170	2151	10429
171	2162	10409
172	2171	10381
173	2181	10357
174	2192	10333
175	2201	10306
176	2213	10291
177	2225	10276
178	2235	10253
179	2246	10233
180	2259	10223
181	2269	10200
182	2280	10180
183	2290	10158
184	2299	10128
185	2308	10102
186	2317	10074
187	2326	10047
188	2337	10028
189	2346	10002
190	2355	9976
191	2364	9951
192	2378	9944
193	2387	9920
194	2396	9894
195	2407	9876
196	2420	9865
197	2431	9846
198	2441	9828
199	2452	9811
200	2461	9785
201	2476	9783
202	2488	9770
203	2499	9752
204	2510	9736
205	2520	9714
206	2530	9695
207	2541	9676
208	2551	9656
209	2561	9637
210	2570	9612
211	2580	9592
212	2590	9571
213	2601	9555
214	2609	9529
215	2620	9512
216	2629	9489
217	2639	9468
218	2647	9441
219	2657	9422
220	2666	9400
221	2677	9381
222	2687	9365
223	2696	9340
224	2705	9317
225	2713	9294
226	2723	9273
227	2732	9252
228	2741	9228
229	2751	9212
230	2762	9195
231	2772	9179
232	2780	9153
233	2790	9133
234	2799	9114
235	2808	9091
236	2816	9068
237	2824	9044
238	2835	9027
239	2843	9004
240	2853	8987
241	2862	8966
242	2872	8949
243	2882	8930
244	2893	8916
245	2903	8898
246	2910	8872
247	2921	8858
248	2930	8839
249	2940	8822
250	2952	8810
251	2964	8798
252	2977	8791
253	2986	8771
254	2996	8754
255	3007	8739
256	3015	8718
257	3026	8704
258	3035	8685
259	3045	8667
260	3054	8649
261	3065	8635
262	3075	8617
263	3086	8603
264	3095	8585
265	3104	8567
266	3115	8552
267	3128	8545
268	3141	8535
269	3153	8526
270	3163	8509
271	3173	8493
272	3182	8475
273	3192	8457
274	3202	8441
275	3212	8426
276	3221	8408
277	3231	8392
278	3241	8375
279	3252	8364
280	3262	8348
281	3272	8332
282	3282	8317
283	3293	8302
284	3303	8286
285	3311	8266
286	3321	8252
287	3331	8236
288	3341	8220
289	3351	8204
290	3360	8186
291	3368	8168
292	3377	8150
293	3388	8136
294	3399	8123
295	3408	8107
296	3418	8090
297	3426	8072
298	3435	8055
299	3446	8041
300	3456	8026
301	3465	8010
302	3476	7997
303	3485	7980
304	3495	7965
305	3506	7951
306	3514	7932
307	3525	7920
308	3545	7929
309	3555	7913
310	3565	7899
311	3575	7884
312	3586	7871
313	3596	7858
314	3608	7846
315	3618	7833
316	3630	7822
317	3647	7822
318	3660	7814
319	3672	7803
320	3682	7790
321	3694	7778
322	3703	7762
323	3713	7746
324	3727	7742
325	3739	7730
326	3748	7714
327	3759	7701
328	3770	7689
329	3779	7673
330	3790	7660
331	3800	7647
332	3812	7635
333	3821	7621
334	3831	7605
335	3840	7588
336	3849	7573
337	3858	7557
338	3871	7548
339	3880	7532
340	3889	7516
341	3900	7504
342	3910	7489
343	3918	7473
344	3927	7455
345	3936	7440
346	3945	7424
347	3956	7411
348	3972	7409
349	3989	7408
350	4001	7398
351	4014	7389
352	4023	7373
353	4034	7361
354	4045	7349
355	4054	7334
356	4064	7319
357	4072	7303
358	4083	7291
359	4093	7276
360	4102	7261
361	4241	7475
362	4252	7462
363	4261	7445
364	4270	7429
365	4279	7412
366	4286	7393
367	4295	7377
368	4305	7362
369	4316	7350
370	4325	7333
371	4334	7316
372	4343	7301
373	4393	7353
374	4403	7338
375	4412	7322
376	4423	7309
377	4432	7294
378	4441	7277
379	4452	7264
380	4459	7245
381	4469	7230
382	4476	7212
383	4486	7196
384	4496	7182
385	4506	7168
386	4515	7152
387	4523	7135
388	4532	7119
389	4543	7106
390	4552	7090
391	4562	7076
392	4572	7062
393	4583	7049
