iter	RMSE
0	13414746.18
1	12311509.11
2	11327117.72
3	10466728.83
4	9718995.651
5	9053586.674
6	8491690.122
7	7979626.96
8	7540586.055
9	7184753.316
10	6854940.414
11	6571424.514
12	6327423.818
13	6121035.706
14	5946658.291
15	5810089.274
16	5677562.704
17	5567242.143
18	5468594.081
19	5385206.517
20	5289939.881
21	5211880.513
22	5136633.291
23	5078652.397
24	5026921.916
25	4980195.764
26	4931802.471
27	4896656.612
28	4867520.613
29	4834696.861
30	4802995.49
31	4780115.503
32	4755576.542
33	4737042.735
34	4721853.321
35	4705243.406
36	4685246.212
37	4672472.766
38	4661772.505
39	4651458.627
40	4643103.637
41	4636362.043
42	4625601.553
43	4612568.55
44	4608453.529
45	4602795.423
46	4597275.548
47	4583273.361
48	4575126.3
49	4567735.081
50	4560795.382
51	4555705.253
52	4552055.983
53	4547454.776
54	4544259.03
55	4539568.22
56	4534126.144
57	4525570.169
58	4520922.073
59	4514588.847
60	4510658.531
61	4508153.964
62	4504240.69
63	4502304.777
64	4497128.554
65	4493069.811
66	4485097.409
67	4482390.119
68	4479764.976
69	4474170.756
70	4469389.022
71	4466870.227
72	4465867.939
73	4462311.691
74	4455321.513
75	4451742.893
76	4447582.624
77	4443798.058
78	4441411.584
79	4436717.04
80	4432508.384
81	4430492.099
82	4426034.276
83	4419721.853
84	4416421.463
85	4414634.318
86	4408744.726
87	4407024.455
88	4404653.857
89	4402219.41
90	4399598.807
91	4393936.441
92	4384431.113
93	4373999.672
94	4372324.515
95	4369570.962
96	4364278.893
97	4360356.366
98	4354878.478
99	4351107.077
100	4348269.011
101	4343061.95
102	4338608.867
103	4333157.348
104	4331348.067
105	4327973.812
106	4325042.954
107	4320621.537
108	4316743.347
109	4311385.054
110	4308912.437
111	4303674.213
112	4301626.924
113	4298590.433
114	4296340.378
115	4294911.264
116	4292104.489
117	4289496.027
118	4287203.328
119	4284918.984
120	4283349.404
121	4280957.292
122	4274518.641
123	4272272.243
124	4270911.807
125	4265673.574
126	4263710.614
127	4257473.305
128	4253083.991
129	4247270.2
130	4244045.499
131	4241589.769
132	4240448.514
133	4236615.982
134	4233444.651
135	4224248.734
136	4219498.692
137	4214711.404
138	4209702.276
139	4207187.145
140	4199457.439
141	4194960.723
142	4190995.72
143	4188662.499
144	4186357.361
145	4181790.057
146	4179968.264
147	4175401.476
148	4173465.14
149	4166771.107
150	4162489.324
151	4158566.881
152	4155096.206
153	4146357.882
154	4145086.828
155	4142267.49
156	4138861.516
157	4137329.946
158	4134107.947
159	4130450.865
160	4127026.718
161	4124168.846
162	4121498.683
163	4114678.774
164	4112395.724
165	4108831.362
166	4104138.429
167	4102376.118
168	4098772.103
169	4096345.52
170	4091440.805
171	4087833.911
172	4085678.122
173	4083137.472
174	4079885.592
175	4076878.917
176	4073272.684
177	4066306.702
178	4063656.002
179	4059921.886
180	4055500.441
181	4050983.549
182	4046120.557
183	4043540.91
184	4041254.549
185	4039403.343
186	4038944.155
187	4037028.208
188	4035173.901
189	4031952.451
190	4028125.8
191	4026549.855
192	4022024.839
193	4017526.259
194	4015247.437
195	4012693.19
196	4009308.444
197	4004012.436
198	4002409.466
199	3997841.023
200	3996230.621
201	3995097.356
202	3992771.541
203	3991512.316
204	3990599.249
205	3988342.632
206	3983556.444
207	3981039.446
208	3973159.994
209	3971023.901
210	3968175.011
211	3966530.645
212	3964880.673
213	3961224.067
214	3955622.862
215	3952218.716
216	3946835.126
217	3944846.668
218	3943222.291
219	3939422.559
220	3938675.762
221	3936273.068
222	3934462.814
223	3931842.581
224	3927868.872
225	3927303.801
226	3925696.122
227	3924310.608
228	3922724.237
229	3920603.048
230	3919272.586
231	3917975.412
232	3914076.389
233	3910287.855
234	3905439.721
235	3902501.45
236	3899781.126
237	3897859.003
238	3895655.689
239	3893128.437
240	3891250.629
241	3888957.139
242	3887098.554
243	3885468.673
244	3882846.849
245	3880189.757
246	3877760.783
247	3875160.168
248	3873600.04
249	3871187.638
250	3869172.664
251	3866598.801
252	3864457.004
253	3862736.274
254	3861257.784
255	3859146.685
256	3857760.922
257	3854701.781
258	3851903.485
259	3849138.765
260	3845109.665
261	3842967.932
262	3841115.416
263	3839470.688
264	3836788.289
265	3832868.617
266	3830979.123
267	3829859.975
268	3827981.821
269	3826997.1
270	3824713.114
271	3822010.344
272	3819729.116
273	3818692.506
274	3817238.844
275	3815448.583
276	3813567.445
277	3812421.893
278	3809381.642
279	3808453.068
280	3806691.76
281	3804624.797
282	3802742.781
283	3800901.38
284	3798256.053
285	3797402.683
286	3795932.055
287	3794539.935
288	3790536.099
289	3788806.264
290	3785529.069
291	3784781.437
292	3783335.567
293	3782098.272
294	3778645.774
295	3773676.486
296	3772073.603
297	3770673.347
298	3768626.082
299	3766968.171
300	3765108.72
301	3763892.546
302	3759258.186
303	3757377.45
304	3755267.391
305	3753488.335
306	3752767.813
307	3750643.824
308	3748180.631
309	3746684.35
310	3745474.015
311	3742614.038
312	3740665.16
313	3737972.155
314	3736397.504
315	3733938.332
316	3732342.473
317	3730937.403
318	3730023.14
319	3726994.907
320	3723098.51
321	3721984.778
322	3720453.767
323	3718573.158
324	3717783.652
325	3716514.44
326	3715679.504
327	3712971.298
328	3711474.049
329	3709266.787
330	3708166.121
331	3706346.354
332	3704184.238
333	3702330.552
334	3701723.53
335	3700920.677
336	3698873.812
337	3697798.812
338	3697337.388
339	3696485.042
340	3693306.374
341	3690783.693
342	3688736.467
343	3687055.152
344	3682033.812
345	3679877.899
346	3677631.113
347	3677332.726
348	3675995.668
349	3675327.981
350	3672731.014
351	3671122.033
352	3670480.072
353	3670016.64
354	3668649.568
355	3666792.871
356	3663653.978
357	3661803.571
358	3659659.218
359	3657032.783
360	3655943.463
361	3651582.495
362	3648250.416
363	3646727.171
364	3645136.089
365	3644006.224
366	3641379.043
367	3640361.998
368	3639697.788
369	3639086.609
370	3638366.479
371	3635346.395
372	3633843.21
373	3630564.395
374	3627876.929
375	3626160.527
376	3624835.176
377	3623318.349
378	3621593.941
379	3620616.323
380	3618399.611
381	3615946.891
382	3613254.814
383	3609829.564
384	3607485.483
385	3603655.42
386	3600612.213
387	3599836.904
388	3598881.361
389	3597970.308
390	3596358.825
391	3594702.849
392	3593656.086
393	3591890.463
394	3591661.2
395	3589612.355
396	3588739.088
397	3586240.901
398	3585926.556
399	3585280.887
400	3583942.867
401	3582807.369
402	3581329.75
403	3580091.438
404	3578956.095
405	3577142.089
406	3574981.43
407	3573847.33
408	3571797.944
409	3570316.129
410	3569155.995
411	3565953.954
412	3565240.649
413	3563360.328
414	3562869.586
415	3560899.022
416	3559769.313
417	3558566.083
418	3555790.775
419	3554488.064
420	3553650.824
421	3551918.806
422	3549663.103
423	3548488.196
424	3547281.28
425	3545868.986
426	3543261.03
427	3541671.391
428	3541207.202
429	3538414.09
430	3536534.059
431	3534515.884
432	3531281.651
433	3527217.311
434	3526824.65
435	3525950.463
436	3522933.608
437	3520796.86
438	3519965.2
439	3517125.099
440	3514988.67
441	3513825.614
442	3511599.695
443	3510106.809
444	3508656.771
445	3508139.899
446	3506569.158
447	3505486.208
448	3504655.122
449	3502918.218
450	3500822.612
451	3500035.046
452	3498287.625
453	3497111.282
454	3494503.009
455	3490590.978
456	3489032.316
457	3487614.796
458	3486889.297
459	3485553.37
460	3483602.532
461	3482792.095
462	3480911.479
463	3478682.956
464	3477122.884
465	3475897.009
466	3473043.897
467	3472914.899
468	3471328.99
469	3469790.426
470	3467531.289
471	3464840.013
472	3463914.346
473	3462535.608
474	3461307.648
475	3461000.107
476	3458789.517
477	3456735.228
478	3455856.711
479	3453699.048
480	3452494.804
481	3450767.207
482	3449911.593
483	3449265.179
484	3448001.894
485	3445623.499
486	3444851.161
487	3442998.35
488	3442369.19
489	3440036.87
490	3438815.243
491	3437411.07
492	3435301.5
493	3431394.455
494	3429947.943
495	3427744.998
496	3426915.643
497	3424531.728
498	3423277.334
499	3421236.123
500	3420337.688
501	3418037.286
502	3417206.316
503	3414882.905
504	3414347.725
505	3413322.209
506	3412605.161
507	3411463.186
508	3410598.609
509	3408252.017
510	3407373.523
511	3405025.98
512	3403443.53
513	3402352.129
514	3401907.407
515	3400683.902
516	3399366.803
517	3397719.493
518	3396520.797
519	3395191.452
520	3392879.801
521	3391634.201
522	3389537.711
523	3389111.26
524	3387662.767
525	3387138.1
526	3384197.956
527	3383421.205
528	3382218.97
529	3381797.126
530	3379492.73
531	3378432.334
532	3377883.664
533	3375722.609
534	3373059.982
535	3370577.011
536	3368230.057
537	3365728.735
538	3363029.499
539	3362295.44
540	3360796.882
541	3358016.586
542	3356580.237
543	3355698.896
544	3354303.538
545	3353039.012
546	3352494.515
547	3349349.607
548	3348610.707
549	3348261.995
550	3347318.675
551	3345753.997
552	3344677.222
553	3342852.109
554	3340397.806
555	3339787.532
556	3337086.601
557	3334335.815
558	3333552.801
559	3331366.676
560	3330852.707
561	3330392.771
562	3329807.345
563	3328512.666
564	3327913.641
565	3327389.623
566	3324889.869
567	3323940.325
568	3322956.261
569	3322379
570	3321353.98
571	3319754.285
572	3318448.781
573	3316412.511
574	3315307.134
575	3314767.042
576	3314172.376
577	3312602.314
578	3311189.105
579	3310390.156
580	3307747.589
581	3306929.61
582	3306178.422
583	3305229.2
584	3302574.221
585	3301567.037
586	3301209.07
587	3299415.038
588	3298139.988
589	3297164.786
590	3296890.194
591	3296384.222
592	3295822.025
593	3294476.453
594	3292129.431
595	3290531.592
596	3288908.323
597	3287905.109
598	3287000.567
599	3285269.066
600	3283158.858
601	3281355.619
602	3280404.71
603	3277254.878
604	3276138.154
605	3275458.856
606	3274125.616
607	3273066.37
608	3272676.455
609	3271088.002
610	3269630.627
611	3267092.217
612	3265245.336
613	3264028.989
614	3263576.987
615	3262508.514
616	3258009.231
617	3256703.686
618	3255404.311
619	3253091.688
620	3252699.556
621	3251646.826
622	3250359.862
623	3249418.346
624	3247012.588
625	3244473.195
626	3243739.296
627	3242740.991
628	3240991.257
629	3239394.168
630	3238039.69
631	3236516.832
632	3235786.071
633	3234428.747
634	3233465.398
635	3231581.342
636	3229385.412
637	3228390.471
638	3227467.388
639	3226523.781
640	3225959.629
641	3224790.833
642	3224203.5
643	3223142.866
644	3223026.079
645	3222400.59
646	3221694.65
647	3219765.889
648	3217705.892
649	3215759.284
650	3215013.957
651	3213582.692
652	3213298.971
653	3212956.083
654	3212039.326
655	3210194.79
656	3208773.676
657	3207781.315
658	3207095.126
659	3204573.656
660	3200419.986
661	3199514.8
662	3198549.57
663	3197976.284
664	3196442.334
665	3194882.908
666	3192586.5
667	3191511.492
668	3190475.707
669	3189986.482
670	3188496.563
671	3187179.541
672	3185946.079
673	3185802.877
674	3184798.586
675	3184303.634
676	3182384.053
677	3181576.151
678	3181203.185
679	3180420.383
680	3179232.674
681	3176789.606
682	3175911.083
683	3174814.663
684	3172578.289
685	3172303.093
686	3171502.337
687	3169564.966
688	3169138.486
689	3168550.301
690	3167882.27
691	3167144.32
692	3165324.693
693	3164819.042
694	3163062.487
695	3160264.323
696	3158545.712
697	3157287.654
698	3155583.356
699	3155253.816
700	3154608.157
701	3153707.25
702	3152983.211
703	3151229.813
704	3150816.094
705	3149241.62
706	3148393.811
707	3147163.731
708	3145679.793
709	3145330.445
710	3144871.372
711	3143800.671
712	3143175.78
713	3140957.447
714	3139655.848
715	3138480.181
716	3137557.36
717	3137096.275
718	3136556.826
719	3134994.301
720	3133636.932
721	3132199.868
722	3130018.334
723	3129390.962
724	3127178.488
725	3124772.107
726	3123708.658
727	3122993.028
728	3122026.067
729	3120600.946
730	3119514.357
731	3118163.487
732	3116921.744
733	3116065.951
734	3114889.858
735	3113400.98
736	3112302.393
737	3110661.854
738	3109809.125
739	3107936.175
740	3107010.245
741	3106030.102
742	3104408.786
743	3103863.008
744	3103369.413
745	3102667.274
746	3101752.971
747	3099632.936
748	3099084.069
749	3098232.783
750	3097407.552
751	3096253.252
752	3095283.267
753	3094343.791
754	3092860.697
755	3090983.435
756	3089531.622
757	3088700.51
758	3087341.493
759	3086542.916
760	3085707.589
761	3085455.225
762	3083994.668
