iter	MAE
0	4872236.122
1	4608018.875
2	4372323.082
3	4151024.024
4	3954957.75
5	3786100.783
6	3667972.87
7	3537821.567
8	3424918.323
9	3328341.469
10	3246109.63
11	3175532.793
12	3107636.595
13	3057593.178
14	2981863.533
15	2937522.026
16	2896691.366
17	2857076.102
18	2811802.814
19	2765891.548
20	2730701.058
21	2685019.791
22	2654179.696
23	2622899.501
24	2599154.678
25	2574890.46
26	2552126.214
27	2532628.053
28	2519526.095
29	2495722.127
30	2484526.164
31	2478359.233
32	2459727.478
33	2452652.741
34	2434927.533
35	2417856.974
36	2409885.368
37	2406244.067
38	2386503.172
39	2375443.374
40	2369366.135
41	2362788.548
42	2358006.988
43	2351432.689
44	2344941.733
45	2337348.871
46	2334190.352
47	2331177.252
48	2328224.267
49	2324995.623
50	2323410.76
51	2320556.591
52	2317526.885
53	2315271.51
54	2313146.924
55	2303393.678
56	2293419.017
57	2287298.375
58	2279716.286
59	2277410.722
60	2276025.097
61	2271549.799
62	2270273.662
63	2264701.405
64	2262256.408
65	2257067.793
66	2255080.235
67	2253583.097
68	2251700.827
69	2247848.219
70	2244323.409
71	2240067.397
72	2238441.659
73	2231866.781
74	2229581.715
75	2227240.696
76	2225352.904
77	2223209.072
78	2214188.959
79	2213053.382
80	2210039.15
81	2206042.678
82	2201183.605
83	2198927.58
84	2197544.08
85	2191477.457
86	2189024.304
87	2185420.712
88	2184487.745
89	2179063.061
90	2178426.808
91	2177416.825
92	2175782.026
93	2170614.065
94	2167574.187
95	2163464.916
96	2163027.461
97	2161344.197
98	2157547.04
99	2156340.493
100	2153063.688
101	2151427.55
102	2147855.27
103	2146727.803
104	2142101.709
105	2141365.338
106	2139090.672
107	2137653.667
108	2135207.514
109	2131809.338
110	2126862.404
111	2125737.628
112	2125179.852
113	2122349.875
114	2121801.314
115	2120397.125
116	2119636.027
117	2119417.954
118	2118272.269
119	2115322.589
120	2111262.383
121	2110278.101
122	2106835.723
123	2105999.144
124	2103881.408
125	2102428.872
126	2101010.169
127	2100442.549
128	2099194.818
129	2098948.099
130	2096974.923
