iter	Passed	Remaining
0	7	7987
1	16	8308
2	23	7868
3	29	7403
4	35	7095
5	41	6853
6	46	6596
7	51	6444
8	56	6230
9	60	5964
10	64	5794
11	68	5657
12	72	5501
13	76	5386
14	81	5341
15	85	5283
16	89	5183
17	93	5110
18	98	5076
19	101	4986
20	105	4931
21	109	4863
22	112	4797
23	116	4736
24	119	4669
25	123	4612
26	126	4562
27	130	4524
28	133	4482
29	138	4465
30	142	4447
31	145	4413
32	149	4380
33	153	4357
34	156	4325
35	161	4317
36	165	4302
37	169	4296
38	173	4274
39	177	4257
40	180	4230
41	185	4222
42	188	4193
43	192	4182
44	196	4169
45	200	4152
46	204	4144
47	208	4131
48	212	4125
49	216	4113
50	220	4096
51	223	4082
52	228	4077
53	231	4061
54	235	4043
55	239	4038
56	243	4023
57	247	4016
58	251	4007
59	255	4001
60	260	4015
61	265	4009
62	269	4010
63	273	4006
64	278	4003
65	281	3988
66	285	3975
67	288	3960
68	292	3948
69	296	3939
70	300	3930
71	303	3916
72	308	3914
73	311	3904
74	315	3889
75	319	3879
76	322	3867
77	326	3859
78	330	3848
79	334	3845
80	338	3842
81	342	3836
82	346	3823
83	350	3819
84	354	3816
85	358	3806
86	362	3802
87	366	3795
88	370	3789
89	374	3783
90	378	3777
91	382	3779
92	386	3773
93	390	3767
94	394	3757
95	398	3749
96	401	3741
97	405	3734
98	409	3731
99	413	3725
100	417	3719
101	422	3718
102	427	3720
103	430	3713
104	435	3710
105	439	3704
106	443	3701
107	447	3698
108	451	3694
109	456	3689
110	460	3686
111	464	3679
112	468	3677
113	472	3673
114	477	3672
115	482	3674
116	487	3679
117	492	3677
118	496	3673
119	500	3669
120	504	3663
121	508	3658
122	512	3653
123	516	3650
124	520	3642
125	524	3637
126	528	3634
127	533	3631
128	537	3629
129	542	3627
130	546	3622
131	550	3619
132	554	3614
133	558	3611
134	563	3610
135	567	3603
136	571	3599
137	576	3600
138	581	3599
139	585	3596
140	590	3594
141	595	3596
142	599	3594
143	604	3590
144	608	3588
145	614	3591
146	619	3591
147	623	3588
148	627	3583
149	632	3583
150	637	3581
151	641	3579
152	646	3576
153	650	3573
154	654	3569
155	659	3566
156	663	3565
157	669	3567
158	673	3564
159	679	3565
160	683	3560
161	688	3560
162	692	3558
163	697	3554
164	701	3552
165	706	3549
166	711	3550
167	716	3549
168	721	3548
169	726	3545
170	731	3544
171	735	3541
172	740	3537
173	746	3541
174	751	3540
175	756	3541
176	760	3537
177	765	3534
178	770	3533
179	774	3529
180	780	3531
181	785	3529
182	789	3525
183	795	3525
184	799	3520
185	804	3519
186	809	3519
187	814	3518
188	819	3517
189	826	3522
190	831	3520
191	836	3520
192	841	3519
193	846	3517
194	852	3520
195	858	3521
196	862	3517
197	868	3516
198	873	3516
199	878	3515
200	883	3512
201	888	3511
202	893	3509
203	898	3505
204	903	3503
205	907	3499
206	913	3498
207	917	3495
208	922	3492
209	928	3491
210	932	3488
211	937	3485
212	943	3484
213	948	3484
214	953	3483
215	959	3481
216	963	3477
217	970	3479
218	974	3476
219	979	3474
220	985	3473
221	991	3474
222	996	3471
