const,Количество комнат,Площадь,Цена
1.0,1.0,30.6,6300000.0
1.0,1.0,49.2,9000000.0
1.0,1.0,44.7,11090000.0
1.0,1.0,35.1,8300000.0
1.0,1.0,37.7,6450000.0
1.0,1.0,38.4,7150000.0
1.0,1.0,33.0,7400000.0
1.0,1.0,25.0,7500000.0
1.0,1.0,41.8,7800000.0
1.0,1.0,44.0,7999999.0
1.0,1.0,44.8,9000000.0
1.0,1.0,39.0,12300000.0
1.0,1.0,48.0,14000000.0
1.0,1.0,33.8,6000000.0
1.0,1.0,32.7,6200000.0
1.0,1.0,32.1,6300000.0
1.0,1.0,34.9,6500000.0
1.0,1.0,38.0,6800000.0
1.0,1.0,40.0,7350000.0
1.0,1.0,47.6,8100000.0
1.0,1.0,32.5,8200000.0
1.0,1.0,36.5,8600000.0
1.0,1.0,33.75,9200000.0
1.0,1.0,39.1,9300000.0
1.0,1.0,38.0,10099000.0
1.0,1.0,50.8,11000000.0
1.0,1.0,38.1,14000000.0
1.0,1.0,39.5,7800000.0
1.0,1.0,39.5,7750000.0
1.0,1.0,44.0,8300000.0
1.0,1.0,32.1,8500000.0
1.0,1.0,42.0,9400000.0
1.0,1.0,37.7,9500000.0
1.0,1.0,38.6,9600000.0
1.0,1.0,42.3,9700000.0
1.0,1.0,38.6,10300000.0
1.0,1.0,43.0,11000000.0
1.0,1.0,36.5,11680000.0
1.0,1.0,28.0,11900000.0
1.0,1.0,18.3,4200000.0
1.0,1.0,31.0,5250000.0
1.0,1.0,31.0,5450000.0
1.0,1.0,45.0,5700000.0
1.0,1.0,26.6,5790000.0
1.0,1.0,32.5,5800000.0
1.0,1.0,28.3,5800000.0
1.0,1.0,23.0,5840000.0
1.0,1.0,31.0,5800000.0
1.0,1.0,23.0,6000000.0
1.0,1.0,30.5,6100000.0
1.0,1.0,39.0,6100000.0
1.0,1.0,39.0,6100000.0
1.0,1.0,32.0,6100000.0
1.0,1.0,32.0,6200000.0
1.0,1.0,30.0,6300000.0
1.0,1.0,19.5,6300000.0
1.0,1.0,34.7,6499000.0
1.0,1.0,31.8,6500000.0
1.0,1.0,34.0,6550000.0
1.0,1.0,34.0,6650000.0
1.0,1.0,34.0,6750000.0
1.0,1.0,35.5,6800000.0
1.0,1.0,40.8,6800000.0
1.0,1.0,35.5,6800000.0
1.0,1.0,35.4,6890000.0
1.0,1.0,37.9,6800000.0
1.0,1.0,35.1,6800000.0
1.0,1.0,29.0,6990000.0
1.0,1.0,37.0,7000000.0
1.0,1.0,32.6,7000000.0
1.0,1.0,46.0,7000000.0
1.0,1.0,38.0,7000000.0
1.0,1.0,39.6,7100000.0
1.0,1.0,40.0,7200000.0
1.0,1.0,35.6,7200000.0
1.0,1.0,40.0,7200000.0
1.0,1.0,32.0,7200000.0
1.0,1.0,38.0,7200000.0
1.0,1.0,39.5,7200000.0
1.0,1.0,38.4,7290000.0
1.0,1.0,39.3,7300000.0
1.0,1.0,39.3,7300000.0
1.0,1.0,39.5,7400000.0
1.0,1.0,34.0,7400000.0
1.0,1.0,32.0,7499000.0
1.0,1.0,32.2,7450000.0
1.0,1.0,32.0,7500000.0
1.0,1.0,57.0,7500000.0
1.0,1.0,37.4,7500000.0
1.0,1.0,34.0,7500000.0
1.0,1.0,34.6,7500000.0
1.0,1.0,35.5,7590000.0
1.0,1.0,39.0,7600000.0
1.0,1.0,46.8,7720000.0
1.0,1.0,38.8,7700000.0
1.0,1.0,38.1,7650000.0
1.0,1.0,34.6,7750000.0
1.0,1.0,39.4,7800000.0
1.0,1.0,40.4,7800000.0
1.0,1.0,39.5,7800000.0
1.0,1.0,41.1,7750000.0
1.0,1.0,37.0,7800000.0
1.0,1.0,33.4,7950000.0
1.0,1.0,36.0,7900000.0
1.0,1.0,34.1,7900000.0
1.0,1.0,37.6,7900000.0
1.0,1.0,33.7,7999000.0
1.0,1.0,40.0,8000000.0
1.0,1.0,33.0,8000000.0
1.0,1.0,33.5,8000000.0
1.0,1.0,38.4,8100000.0
1.0,1.0,47.8,8199000.0
1.0,1.0,47.2,8200000.0
1.0,1.0,35.3,8200000.0
1.0,1.0,30.0,8150000.0
1.0,1.0,38.6,8290000.0
1.0,1.0,34.1,8290000.0
1.0,1.0,34.2,8300000.0
1.0,1.0,31.9,8490000.0
1.0,1.0,43.5,8400000.0
1.0,1.0,44.0,8500000.0
1.0,1.0,36.4,8500000.0
1.0,1.0,39.2,8500000.0
1.0,1.0,48.5,8600000.0
1.0,1.0,44.0,8600000.0
1.0,1.0,47.6,8700000.0
1.0,1.0,41.6,8700000.0
1.0,1.0,37.9,8700000.0
1.0,1.0,43.0,8700000.0
1.0,1.0,36.3,8690000.0
1.0,1.0,48.0,8875000.0
1.0,1.0,46.0,8990000.0
1.0,1.0,42.9,8999999.0
1.0,1.0,45.0,8950000.0
1.0,1.0,39.0,8900000.0
1.0,1.0,40.5,8900000.0
1.0,1.0,39.7,8950000.0
1.0,1.0,39.9,9050000.0
1.0,1.0,38.0,9000000.0
1.0,1.0,40.0,9249000.0
1.0,1.0,46.1,9300000.0
1.0,1.0,45.8,9300000.0
1.0,1.0,59.34,9316380.0
1.0,1.0,54.0,9300000.0
1.0,1.0,44.6,9350000.0
1.0,1.0,33.0,9400000.0
1.0,1.0,42.3,9500000.0
1.0,1.0,35.0,9500000.0
1.0,1.0,37.7,9500000.0
1.0,1.0,35.0,9500000.0
1.0,1.0,42.0,9500000.0
1.0,1.0,40.0,9500000.0
1.0,1.0,34.6,9499999.0
1.0,1.0,40.0,9500000.0
1.0,1.0,42.8,9499999.0
1.0,1.0,37.8,9500000.0
1.0,1.0,38.7,9600000.0
1.0,1.0,47.0,9600000.0
1.0,1.0,34.0,9550000.0
1.0,1.0,37.0,9600000.0
1.0,1.0,45.0,9700000.0
1.0,1.0,37.0,9700000.0
1.0,1.0,35.0,9700000.0
1.0,1.0,41.2,9700000.0
1.0,1.0,40.2,9800000.0
1.0,1.0,46.1,9800000.0
1.0,2.0,60.7,12550000.0
1.0,2.0,42.0,7500000.0
1.0,2.0,61.0,11690000.0
1.0,2.0,70.1,12700000.0
1.0,2.0,46.1,12650000.0
1.0,2.0,68.0,18000000.0
