Минут до метро,Количество комнат,Площадь,Этаж,Количество этажей,Цена
6.0,1.0,30.6,25.0,25,6300000.0
2.0,1.0,49.2,6.0,15,9000000.0
14.0,1.0,44.7,10.0,25,11090000.0
8.0,1.0,35.1,12.0,33,8300000.0
6.0,1.0,37.7,5.0,5,6450000.0
6.0,1.0,38.4,8.0,18,7150000.0
11.0,1.0,33.0,7.0,7,7400000.0
27.0,1.0,25.0,16.0,34,7500000.0
6.0,1.0,41.8,6.0,17,7800000.0
35.0,1.0,44.0,11.0,24,7999999.0
17.0,1.0,44.8,5.0,6,9000000.0
16.0,1.0,39.0,26.0,30,12300000.0
12.0,1.0,48.0,12.0,28,14000000.0
3.0,1.0,33.8,4.0,9,6000000.0
19.0,1.0,32.7,9.0,9,6200000.0
19.0,1.0,32.1,2.0,9,6300000.0
7.0,1.0,34.9,2.0,14,6500000.0
7.0,1.0,38.0,8.0,14,6800000.0
6.0,1.0,40.0,17.0,24,7350000.0
6.0,1.0,47.6,8.0,11,8100000.0
12.0,1.0,32.5,1.0,8,8200000.0
8.0,1.0,36.5,23.0,33,8600000.0
5.0,1.0,33.75,3.0,8,9200000.0
15.0,1.0,39.1,17.0,29,9300000.0
16.0,1.0,38.0,6.0,19,10099000.0
11.0,1.0,50.8,14.0,22,11000000.0
16.0,1.0,38.1,5.0,19,14000000.0
6.0,1.0,39.5,20.0,26,7800000.0
7.0,1.0,39.5,2.0,26,7750000.0
5.0,1.0,44.0,10.0,25,8300000.0
16.0,1.0,32.1,23.0,45,8500000.0
9.0,1.0,42.0,4.0,23,9400000.0
20.0,1.0,37.7,8.0,17,9500000.0
20.0,1.0,38.6,16.0,17,9600000.0
7.0,1.0,42.3,7.0,17,9700000.0
8.0,1.0,38.6,16.0,32,10300000.0
15.0,1.0,43.0,3.0,17,11000000.0
16.0,1.0,36.5,5.0,45,11680000.0
2.0,1.0,28.0,12.0,31,11900000.0
36.0,1.0,18.3,5.0,5,4200000.0
6.0,1.0,31.0,1.0,4,5250000.0
13.0,1.0,31.0,5.0,5,5450000.0
29.0,1.0,45.0,1.0,3,5700000.0
7.0,1.0,26.6,23.0,26,5790000.0
5.0,1.0,32.5,7.0,9,5800000.0
12.0,1.0,28.3,3.0,5,5800000.0
4.0,1.0,23.0,4.0,5,5840000.0
10.0,1.0,31.0,3.0,5,5800000.0
4.0,1.0,23.0,4.0,5,6000000.0
7.0,1.0,30.5,13.0,25,6100000.0
6.0,1.0,39.0,7.0,18,6100000.0
6.0,1.0,39.0,5.0,18,6100000.0
19.0,1.0,32.0,1.0,7,6100000.0
7.0,1.0,32.0,4.0,5,6200000.0
7.0,1.0,30.0,25.0,25,6300000.0
8.0,1.0,19.5,2.0,22,6300000.0
6.0,1.0,34.7,11.0,16,6499000.0
17.0,1.0,31.8,19.0,25,6500000.0
16.0,1.0,34.0,4.0,12,6550000.0
16.0,1.0,34.0,6.0,12,6650000.0
19.0,1.0,34.0,1.0,6,6750000.0
7.0,1.0,35.5,12.0,25,6800000.0
16.0,1.0,40.8,2.0,8,6800000.0
15.0,1.0,35.5,2.0,12,6800000.0
16.0,1.0,35.4,4.0,14,6890000.0
5.0,1.0,37.9,9.0,18,6800000.0
14.0,1.0,35.1,5.0,9,6800000.0
18.0,1.0,29.0,5.0,5,6990000.0
8.0,1.0,37.0,15.0,24,7000000.0
6.0,1.0,32.6,3.0,9,7000000.0
20.0,1.0,46.0,11.0,25,7000000.0
39.0,1.0,38.0,9.0,14,7000000.0
5.0,1.0,39.6,2.0,18,7100000.0
17.0,1.0,40.0,4.0,25,7200000.0
7.0,1.0,35.6,7.0,24,7200000.0
6.0,1.0,40.0,2.0,11,7200000.0
15.0,1.0,32.0,3.0,5,7200000.0
6.0,1.0,38.0,7.0,17,7200000.0
8.0,1.0,39.5,2.0,18,7200000.0
6.0,1.0,38.4,14.0,26,7290000.0
5.0,1.0,39.3,22.0,25,7300000.0
7.0,1.0,39.3,3.0,14,7300000.0
6.0,1.0,39.5,22.0,25,7400000.0
6.0,1.0,34.0,9.0,9,7400000.0
4.0,1.0,32.0,2.0,8,7499000.0
10.0,1.0,32.2,9.0,12,7450000.0
12.0,1.0,32.0,7.0,21,7500000.0
12.0,1.0,57.0,1.0,10,7500000.0
6.0,1.0,37.4,5.0,25,7500000.0
6.0,1.0,34.0,20.0,27,7500000.0
4.0,1.0,34.6,12.0,12,7500000.0
6.0,1.0,35.5,8.0,25,7590000.0
6.0,1.0,39.0,3.0,18,7600000.0
5.0,1.0,46.8,1.0,10,7720000.0
7.0,1.0,38.8,24.0,25,7700000.0
6.0,1.0,38.1,20.0,26,7650000.0
7.0,1.0,34.6,25.0,26,7750000.0
4.0,1.0,39.4,12.0,12,7800000.0
6.0,1.0,40.4,1.0,17,7800000.0
