Цена,Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Ссылка
6300000.0,Вторичное,опалиха,6.0,Московская область,1.0,30.6,8.5,25.0,25.0,Косметический,https://www.cian.ru/sale/flat/289238903
9000000.0,Вторичное,павшино,2.0,Московская область,1.0,49.2,10.0,6.0,15.0,Евроремонт,https://www.cian.ru/sale/flat/292849723
11090000.0,Вторичное,мякинино,14.0,Московская область,1.0,44.7,13.1,10.0,25.0,Косметический,https://www.cian.ru/sale/flat/290714580
8300000.0,Вторичное,строгино,8.0,Московская область,1.0,35.1,11.0,12.0,33.0,Евроремонт,https://www.cian.ru/sale/flat/293556306
6450000.0,Вторичное,опалиха,6.0,Московская область,1.0,37.7,4.0,5.0,5.0,Без ремонта,https://www.cian.ru/sale/flat/293893833
7150000.0,Вторичное,опалиха,6.0,Московская область,1.0,38.4,8.0,8.0,18.0,Евроремонт,https://www.cian.ru/sale/flat/291919273
7400000.0,Вторичное,нахабино,11.0,Московская область,1.0,33.0,8.0,7.0,7.0,Евроремонт,https://www.cian.ru/sale/flat/290876932
7500000.0,Вторичное,строгино,27.0,Московская область,1.0,25.0,8.7,16.0,16.0,Евроремонт,https://www.cian.ru/sale/flat/292804422
7800000.0,Вторичное,красногорская,6.0,Московская область,1.0,41.8,10.0,6.0,17.0,Косметический,https://www.cian.ru/sale/flat/293930265
7999999.0,Вторичное,тушинская,11.0,Московская область,1.0,44.0,11.0,11.0,24.0,Дизайнерский,https://www.cian.ru/sale/flat/291413918
9000000.0,Вторичное,аникеевка,17.0,Московская область,1.0,44.8,10.3,5.0,6.0,Евроремонт,https://www.cian.ru/sale/flat/292639069
12300000.0,Вторичное,волоколамская,16.0,Московская область,1.0,39.0,9.9,26.0,30.0,Дизайнерский,https://www.cian.ru/sale/flat/293957405
14000000.0,Вторичное,волоколамская,12.0,Московская область,1.0,48.0,9.0,12.0,28.0,Дизайнерский,https://www.cian.ru/sale/flat/291724922
6000000.0,Вторичное,павшино,3.0,Московская область,1.0,33.8,7.0,4.0,9.0,Без ремонта,https://www.cian.ru/sale/flat/292491328
6200000.0,Вторичное,красногорская,19.0,Московская область,1.0,32.7,6.0,9.0,9.0,Евроремонт,https://www.cian.ru/sale/flat/292251015
6300000.0,Вторичное,красногорская,19.0,Московская область,1.0,32.1,9.3,2.0,9.0,Без ремонта,https://www.cian.ru/sale/flat/293233597
6500000.0,Вторичное,опалиха,7.0,Московская область,1.0,34.9,9.0,2.0,14.0,Косметический,https://www.cian.ru/sale/flat/286779316
6800000.0,Вторичное,опалиха,7.0,Московская область,1.0,38.0,9.0,8.0,14.0,Евроремонт,https://www.cian.ru/sale/flat/292758230
7350000.0,Вторичное,опалиха,6.0,Московская область,1.0,40.0,9.8,17.0,24.0,Евроремонт,https://www.cian.ru/sale/flat/291445271
8100000.0,Вторичное,красногорская,6.0,Московская область,1.0,47.6,12.0,8.0,11.0,Косметический,https://www.cian.ru/sale/flat/292204706
8200000.0,Вторичное,опалиха,12.0,Московская область,1.0,32.5,9.3,1.0,8.0,Дизайнерский,https://www.cian.ru/sale/flat/292145232
8600000.0,Вторичное,строгино,8.0,Московская область,1.0,36.5,15.0,23.0,33.0,Дизайнерский,https://www.cian.ru/sale/flat/293911316
9200000.0,Вторичное,опалиха,5.0,Московская область,1.0,33.75,8.6,3.0,8.0,Дизайнерский,https://www.cian.ru/sale/flat/293305220
9300000.0,Вторичное,волоколамская,15.0,Московская область,1.0,39.1,11.0,17.0,29.0,Без ремонта,https://www.cian.ru/sale/flat/293630355
10099000.0,Вторичное,мякинино,16.0,Московская область,1.0,38.0,9.8,6.0,19.0,Дизайнерский,https://www.cian.ru/sale/flat/293610950
11000000.0,Вторичное,строгино,11.0,Московская область,1.0,50.8,11.6,14.0,22.0,Косметический,https://www.cian.ru/sale/flat/287314888
14000000.0,Вторичное,мякинино,16.0,Московская область,1.0,38.1,9.8,5.0,19.0,Дизайнерский,https://www.cian.ru/sale/flat/293176504
7800000.0,Вторичное,опалиха,6.0,Московская область,1.0,39.5,12.0,20.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/293323857
7750000.0,Вторичное,опалиха,7.0,Московская область,1.0,39.5,14.1,2.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/290295700
8300000.0,Вторичное,опалиха,5.0,Московская область,1.0,44.0,11.6,10.0,25.0,Косметический,https://www.cian.ru/sale/flat/293676969
8500000.0,Вторичное,пенягино,16.0,Московская область,1.0,32.1,18.0,23.0,16.0,Евроремонт,https://www.cian.ru/sale/flat/293781309
9400000.0,Вторичное,пенягино,9.0,Московская область,1.0,42.0,10.1,4.0,23.0,Косметический,https://www.cian.ru/sale/flat/293608709
