,const,Количество комнат,Площадь,Цена
0,1.0,1.0,30.6,6300000.0
1,1.0,1.0,49.2,9000000.0
2,1.0,1.0,44.7,11090000.0
3,1.0,1.0,35.1,8300000.0
4,1.0,1.0,37.7,6450000.0
5,1.0,1.0,38.4,7150000.0
6,1.0,1.0,33.0,7400000.0
7,1.0,1.0,25.0,7500000.0
8,1.0,1.0,41.8,7800000.0
9,1.0,1.0,44.0,7999999.0
10,1.0,1.0,44.8,9000000.0
11,1.0,1.0,39.0,12300000.0
12,1.0,1.0,48.0,14000000.0
13,1.0,1.0,33.8,6000000.0
14,1.0,1.0,32.7,6200000.0
15,1.0,1.0,32.1,6300000.0
16,1.0,1.0,34.9,6500000.0
17,1.0,1.0,38.0,6800000.0
18,1.0,1.0,40.0,7350000.0
19,1.0,1.0,47.6,8100000.0
20,1.0,1.0,32.5,8200000.0
21,1.0,1.0,36.5,8600000.0
22,1.0,1.0,33.75,9200000.0
23,1.0,1.0,39.1,9300000.0
24,1.0,1.0,38.0,10099000.0
25,1.0,1.0,50.8,11000000.0
26,1.0,1.0,38.1,14000000.0
27,1.0,1.0,39.5,7800000.0
28,1.0,1.0,39.5,7750000.0
29,1.0,1.0,44.0,8300000.0
30,1.0,1.0,32.1,8500000.0
31,1.0,1.0,42.0,9400000.0
32,1.0,1.0,37.7,9500000.0
33,1.0,1.0,38.6,9600000.0
34,1.0,1.0,42.3,9700000.0
35,1.0,1.0,38.6,10300000.0
36,1.0,1.0,43.0,11000000.0
37,1.0,1.0,36.5,11680000.0
38,1.0,1.0,28.0,11900000.0
39,1.0,1.0,18.3,4200000.0
40,1.0,1.0,31.0,5250000.0
41,1.0,1.0,31.0,5450000.0
42,1.0,1.0,45.0,5700000.0
43,1.0,1.0,26.6,5790000.0
44,1.0,1.0,32.5,5800000.0
45,1.0,1.0,28.3,5800000.0
46,1.0,1.0,23.0,5840000.0
47,1.0,1.0,31.0,5800000.0
48,1.0,1.0,23.0,6000000.0
49,1.0,1.0,30.5,6100000.0
50,1.0,1.0,39.0,6100000.0
51,1.0,1.0,39.0,6100000.0
52,1.0,1.0,32.0,6100000.0
53,1.0,1.0,32.0,6200000.0
54,1.0,1.0,30.0,6300000.0
55,1.0,1.0,19.5,6300000.0
56,1.0,1.0,34.7,6499000.0
57,1.0,1.0,31.8,6500000.0
58,1.0,1.0,34.0,6550000.0
59,1.0,1.0,34.0,6650000.0
60,1.0,1.0,34.0,6750000.0
61,1.0,1.0,35.5,6800000.0
62,1.0,1.0,40.8,6800000.0
63,1.0,1.0,35.5,6800000.0
64,1.0,1.0,35.4,6890000.0
65,1.0,1.0,37.9,6800000.0
66,1.0,1.0,35.1,6800000.0
67,1.0,1.0,29.0,6990000.0
68,1.0,1.0,37.0,7000000.0
69,1.0,1.0,32.6,7000000.0
70,1.0,1.0,46.0,7000000.0
71,1.0,1.0,38.0,7000000.0
72,1.0,1.0,39.6,7100000.0
73,1.0,1.0,40.0,7200000.0
74,1.0,1.0,35.6,7200000.0
75,1.0,1.0,40.0,7200000.0
76,1.0,1.0,32.0,7200000.0
77,1.0,1.0,38.0,7200000.0
78,1.0,1.0,39.5,7200000.0
79,1.0,1.0,38.4,7290000.0
80,1.0,1.0,39.3,7300000.0
81,1.0,1.0,39.3,7300000.0
82,1.0,1.0,39.5,7400000.0
83,1.0,1.0,34.0,7400000.0
84,1.0,1.0,32.0,7499000.0
85,1.0,1.0,32.2,7450000.0
86,1.0,1.0,32.0,7500000.0
87,1.0,1.0,57.0,7500000.0
88,1.0,1.0,37.4,7500000.0
89,1.0,1.0,34.0,7500000.0
90,1.0,1.0,34.6,7500000.0
91,1.0,1.0,35.5,7590000.0
92,1.0,1.0,39.0,7600000.0
93,1.0,1.0,46.8,7720000.0
94,1.0,1.0,38.8,7700000.0
95,1.0,1.0,38.1,7650000.0
96,1.0,1.0,34.6,7750000.0
97,1.0,1.0,39.4,7800000.0
98,1.0,1.0,40.4,7800000.0
99,1.0,1.0,39.5,7800000.0
100,1.0,1.0,41.1,7750000.0
101,1.0,1.0,37.0,7800000.0
102,1.0,1.0,33.4,7950000.0
103,1.0,1.0,36.0,7900000.0
104,1.0,1.0,34.1,7900000.0
105,1.0,1.0,37.6,7900000.0
106,1.0,1.0,33.7,7999000.0
107,1.0,1.0,40.0,8000000.0
108,1.0,1.0,33.0,8000000.0
109,1.0,1.0,33.5,8000000.0
110,1.0,1.0,38.4,8100000.0
111,1.0,1.0,47.8,8199000.0
112,1.0,1.0,47.2,8200000.0
113,1.0,1.0,35.3,8200000.0
114,1.0,1.0,30.0,8150000.0
115,1.0,1.0,38.6,8290000.0
116,1.0,1.0,34.1,8290000.0
117,1.0,1.0,34.2,8300000.0
118,1.0,1.0,31.9,8490000.0
119,1.0,1.0,43.5,8400000.0
120,1.0,1.0,44.0,8500000.0
121,1.0,1.0,36.4,8500000.0
122,1.0,1.0,39.2,8500000.0
123,1.0,1.0,48.5,8600000.0
124,1.0,1.0,44.0,8600000.0
125,1.0,1.0,47.6,8700000.0
126,1.0,1.0,41.6,8700000.0
127,1.0,1.0,37.9,8700000.0
128,1.0,1.0,43.0,8700000.0
129,1.0,1.0,36.3,8690000.0
130,1.0,1.0,48.0,8875000.0
131,1.0,1.0,46.0,8990000.0
132,1.0,1.0,42.9,8999999.0
133,1.0,1.0,45.0,8950000.0
134,1.0,1.0,39.0,8900000.0
135,1.0,1.0,40.5,8900000.0
136,1.0,1.0,39.7,8950000.0
137,1.0,1.0,39.9,9050000.0
138,1.0,1.0,38.0,9000000.0
139,1.0,1.0,40.0,9249000.0
140,1.0,1.0,46.1,9300000.0
141,1.0,1.0,45.8,9300000.0
142,1.0,1.0,59.34,9316380.0
143,1.0,1.0,54.0,9300000.0
144,1.0,1.0,44.6,9350000.0
145,1.0,1.0,33.0,9400000.0
146,1.0,1.0,42.3,9500000.0
147,1.0,1.0,35.0,9500000.0
148,1.0,1.0,37.7,9500000.0
149,1.0,1.0,35.0,9500000.0
150,1.0,1.0,42.0,9500000.0
151,1.0,1.0,40.0,9500000.0
152,1.0,1.0,34.6,9499999.0
153,1.0,1.0,40.0,9500000.0
154,1.0,1.0,42.8,9499999.0
155,1.0,1.0,37.8,9500000.0
156,1.0,1.0,38.7,9600000.0
157,1.0,1.0,47.0,9600000.0
158,1.0,1.0,34.0,9550000.0
159,1.0,1.0,37.0,9600000.0
160,1.0,1.0,45.0,9700000.0
161,1.0,1.0,37.0,9700000.0
162,1.0,1.0,35.0,9700000.0
163,1.0,1.0,41.2,9700000.0
164,1.0,1.0,40.2,9800000.0
165,1.0,1.0,46.1,9800000.0
166,1.0,2.0,60.7,12550000.0
167,1.0,2.0,42.0,7500000.0
168,1.0,2.0,61.0,11690000.0
169,1.0,2.0,70.1,12700000.0
170,1.0,2.0,46.1,12650000.0
171,1.0,2.0,68.0,18000000.0
172,1.0,2.0,73.5,12546450.0
173,1.0,2.0,56.0,11500000.0
174,1.0,2.0,44.0,9500000.0
175,1.0,2.0,50.3,10500000.0
176,1.0,2.0,64.4,11190000.0
177,1.0,2.0,40.0,11500000.0
178,1.0,2.0,60.7,12500000.0
179,1.0,2.0,109.0,49500000.0
180,1.0,2.0,78.6,51500000.0
181,1.0,2.0,79.3,53000000.0
182,1.0,2.0,35.0,8000000.0
183,1.0,2.0,43.5,8500000.0
184,1.0,2.0,42.0,8800000.0
185,1.0,2.0,52.0,9650000.0
186,1.0,2.0,66.0,9800000.0
187,1.0,2.0,50.0,10000000.0
188,1.0,2.0,47.0,10300000.0
189,1.0,2.0,47.2,10500000.0
190,1.0,2.0,52.0,10700000.0
191,1.0,2.0,51.0,12300000.0
192,1.0,2.0,72.0,13900000.0
193,1.0,2.0,61.0,13990000.0
194,1.0,2.0,63.6,16300000.0
195,1.0,2.0,91.6,17500000.0
196,1.0,2.0,75.0,19900000.0
197,1.0,2.0,101.2,22300000.0
198,1.0,2.0,40.0,5500000.0
199,1.0,2.0,34.49,7200000.0
200,1.0,2.0,54.0,8800000.0
201,1.0,2.0,48.6,10599999.0
202,1.0,2.0,50.0,11000000.0
203,1.0,2.0,43.0,11000000.0
204,1.0,2.0,50.0,11000000.0
205,1.0,2.0,38.8,11000000.0
206,1.0,2.0,55.0,11250000.0
207,1.0,2.0,50.0,11600000.0
208,1.0,2.0,43.57,12000000.0
209,1.0,2.0,40.0,12800000.0
210,1.0,2.0,72.8,13900000.0
211,1.0,2.0,43.6,13900000.0
212,1.0,2.0,57.0,14000000.0
213,1.0,2.0,64.0,13990000.0
214,1.0,2.0,61.0,14300000.0
215,1.0,2.0,88.0,15500000.0
216,1.0,2.0,60.0,15991000.0
217,1.0,2.0,72.2,16400000.0
218,1.0,2.0,36.94,8200000.0
219,1.0,2.0,58.0,9600000.0
220,1.0,2.0,57.0,11300000.0
221,1.0,2.0,38.8,11500000.0
222,1.0,2.0,48.0,11500000.0
223,1.0,2.0,44.0,11950000.0
224,1.0,2.0,43.5,12300000.0
225,1.0,2.0,57.9,12400000.0
226,1.0,2.0,49.6,12400000.0
227,1.0,2.0,40.4,12450000.0
228,1.0,2.0,73.2,13300000.0
229,1.0,2.0,43.0,13760000.0
230,1.0,2.0,80.0,13800000.0
231,1.0,2.0,60.0,14500000.0
232,1.0,2.0,65.0,14500000.0
233,1.0,2.0,71.1,15399000.0
234,1.0,2.0,82.5,15800000.0
235,1.0,2.0,73.2,16000000.0
236,1.0,2.0,41.0,5550000.0
237,1.0,2.0,43.6,6500000.0
238,1.0,2.0,33.3,6600000.0
239,1.0,2.0,45.0,6950000.0
240,1.0,2.0,41.6,7350000.0
241,1.0,2.0,42.6,7500000.0
242,1.0,2.0,47.0,7500000.0
243,1.0,2.0,42.0,7700000.0
244,1.0,2.0,44.6,7700000.0
245,1.0,2.0,38.0,7800000.0
246,1.0,2.0,50.0,8000000.0
247,1.0,2.0,45.0,8000000.0
248,1.0,2.0,43.8,8300000.0
249,1.0,2.0,47.4,8500000.0
250,1.0,2.0,42.9,8600000.0
251,1.0,2.0,50.0,8600000.0
252,1.0,2.0,44.0,8550000.0
253,1.0,2.0,51.6,8700000.0
254,1.0,2.0,53.4,8750000.0
255,1.0,2.0,48.6,8950000.0
256,1.0,2.0,54.0,9000000.0
257,1.0,2.0,42.6,9070000.0
258,1.0,2.0,60.9,9074100.0
259,1.0,2.0,44.8,9000000.0
260,1.0,2.0,60.0,9103900.0
261,1.0,2.0,53.1,9150000.0
262,1.0,2.0,52.0,9200000.0
263,1.0,2.0,48.8,9200000.0
264,1.0,2.0,47.2,9200000.0
265,1.0,2.0,57.0,9250000.0
266,1.0,2.0,40.0,9300000.0
267,1.0,2.0,53.9,9450000.0
268,1.0,2.0,41.7,9500000.0
269,1.0,2.0,48.0,9500000.0
270,1.0,2.0,52.0,9500000.0
271,1.0,2.0,47.0,9500000.0
272,1.0,2.0,45.1,9500000.0
273,1.0,2.0,47.9,9500000.0
274,1.0,2.0,35.0,9600000.0
275,1.0,2.0,52.1,9600000.0
276,1.0,2.0,60.9,9700000.0
277,1.0,2.0,47.1,9650000.0
278,1.0,2.0,66.0,9800000.0
279,1.0,2.0,45.0,9800000.0
280,1.0,2.0,57.9,9900000.0
281,1.0,2.0,55.3,9900000.0
282,1.0,2.0,43.5,9850000.0
283,1.0,2.0,53.7,9900000.0
284,1.0,2.0,43.5,9850000.0
285,1.0,2.0,51.0,10000000.0
286,1.0,2.0,52.0,10000000.0
287,1.0,2.0,53.4,9999000.0
288,1.0,2.0,60.2,10000000.0
289,1.0,2.0,53.2,10000000.0
290,1.0,2.0,40.1,10200000.0
291,1.0,2.0,53.4,10150000.0
292,1.0,2.0,48.2,10190000.0
293,1.0,2.0,54.8,10300000.0
294,1.0,2.0,56.0,10300000.0
295,1.0,2.0,38.6,10300000.0
296,1.0,2.0,61.8,10300000.0
297,1.0,2.0,55.2,10500000.0
298,1.0,2.0,57.0,10500000.0
299,1.0,2.0,60.0,10500000.0
300,1.0,2.0,52.1,10500000.0
301,1.0,2.0,52.0,10500000.0
302,1.0,2.0,83.7,10500000.0
303,1.0,2.0,60.8,10600000.0
304,1.0,2.0,49.6,10650000.0
305,1.0,2.0,57.0,10650000.0
306,1.0,2.0,72.0,10670000.0
307,1.0,2.0,58.7,10750000.0
308,1.0,2.0,67.7,10900000.0
309,1.0,2.0,53.6,10900000.0
310,1.0,2.0,50.0,11000000.0
311,1.0,2.0,63.3,11000000.0
312,1.0,2.0,33.0,11050001.0
313,1.0,2.0,57.0,11300000.0
314,1.0,3.0,108.8,108800000.0
315,1.0,3.0,96.9,53000000.0
316,1.0,3.0,63.2,44240000.0
317,1.0,3.0,145.0,105000000.0
318,1.0,3.0,103.8,47000000.0
319,1.0,3.0,111.0,67990000.0
320,1.0,3.0,117.0,170000000.0
321,1.0,3.0,237.2,224900000.0
322,1.0,3.0,92.0,52500000.0
323,1.0,3.0,109.0,38000000.0
324,1.0,3.0,86.0,95700000.0
325,1.0,3.0,83.5,22450000.0
326,1.0,3.0,104.0,67000000.0
327,1.0,3.0,77.1,17500000.0
328,1.0,3.0,106.7,41500000.0
329,1.0,3.0,70.0,46000000.0
330,1.0,3.0,141.0,179000000.0
331,1.0,3.0,237.0,222000000.0
332,1.0,3.0,84.9,39900000.0
