Станция метро,Минут до метро,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Тип квартиры_Вторичное,Тип квартиры_Новостройка,Регион_Москва,Регион_Московская область,Ремонт_Без ремонта,Ремонт_Дизайнерский,Ремонт_Евроремонт,Ремонт_Косметический,Цена
173,6.0,1.0,30.6,8.5,25.0,25.0,1,0,0,1,0,0,0,1,6300000.0
180,2.0,1.0,49.2,10.0,6.0,15.0,1,0,0,1,0,0,1,0,9000000.0
145,14.0,1.0,44.7,13.1,10.0,25.0,1,0,0,1,0,0,0,1,11090000.0
244,8.0,1.0,35.1,11.0,12.0,33.0,1,0,0,1,0,0,1,0,8300000.0
173,6.0,1.0,37.7,4.0,5.0,5.0,1,0,0,1,1,0,0,0,6450000.0
173,6.0,1.0,38.4,8.0,8.0,18.0,1,0,0,1,0,0,1,0,7150000.0
150,11.0,1.0,33.0,8.0,7.0,7.0,1,0,0,1,0,0,1,0,7400000.0
244,27.0,1.0,25.0,8.7,16.0,16.0,1,0,0,1,0,0,1,0,7500000.0
99,6.0,1.0,41.8,10.0,6.0,17.0,1,0,0,1,0,0,0,1,7800000.0
265,12.0,1.0,44.0,11.0,11.0,24.0,1,0,0,1,0,1,0,0,7999999.0
9,17.0,1.0,44.8,10.3,5.0,6.0,1,0,0,1,0,0,1,0,9000000.0
53,16.0,1.0,39.0,9.9,26.0,30.0,1,0,0,1,0,1,0,0,12300000.0
53,12.0,1.0,48.0,9.0,12.0,28.0,1,0,0,1,0,1,0,0,14000000.0
180,3.0,1.0,33.8,7.0,4.0,9.0,1,0,0,1,1,0,0,0,6000000.0
99,19.0,1.0,32.7,6.0,9.0,9.0,1,0,0,1,0,0,1,0,6200000.0
99,19.0,1.0,32.1,9.3,2.0,9.0,1,0,0,1,1,0,0,0,6300000.0
173,7.0,1.0,34.9,9.0,2.0,14.0,1,0,0,1,0,0,0,1,6500000.0
173,7.0,1.0,38.0,9.0,8.0,14.0,1,0,0,1,0,0,1,0,6800000.0
173,6.0,1.0,40.0,9.8,17.0,24.0,1,0,0,1,0,0,1,0,7350000.0
99,6.0,1.0,47.6,12.0,8.0,11.0,1,0,0,1,0,0,0,1,8100000.0
173,12.0,1.0,32.5,9.3,1.0,8.0,1,0,0,1,0,1,0,0,8200000.0
244,8.0,1.0,36.5,15.0,23.0,33.0,1,0,0,1,0,1,0,0,8600000.0
173,5.0,1.0,33.75,8.6,3.0,8.0,1,0,0,1,0,1,0,0,9200000.0
53,15.0,1.0,39.1,11.0,17.0,29.0,1,0,0,1,1,0,0,0,9300000.0
145,16.0,1.0,38.0,9.8,6.0,19.0,1,0,0,1,0,1,0,0,10099000.0
